image,nonceIndex,perturbation,height,width,changedCipherBytes,changedCipherPixels,meanChannelNPCR_percent,minimumChannelNPCR_percent,meanChannelUACI_percent,minimumChannelUACI_percent,roundTripPass
kodim03.png,2,masterKeyBit,512,768,1175094,393216,99.6139526367188,99.6060689290365,33.4613416085836,33.4466941683901,1
kodim03.png,2,nonceBit,512,768,1175069,393216,99.6118333604601,99.6045430501302,33.491942628017,33.4809995165059,1
kodim03.png,3,plaintextBit,512,768,1175019,393216,99.6075948079427,99.5880126953125,33.4659438455287,33.4383716458589,1
kodim03.png,3,masterKeyBit,512,768,1175103,393216,99.6147155761719,99.5966593424479,33.4724163645493,33.4647643644047,1
kodim03.png,3,nonceBit,512,768,1175137,393216,99.6175977918837,99.6126810709635,33.5166871313956,33.5044412051931,1
kodim04.png,1,plaintextBit,768,512,1175057,393216,99.6108161078559,99.6060689290365,33.4402947851776,33.4234529383043,1
kodim04.png,1,masterKeyBit,768,512,1175167,393216,99.6201409233941,99.603271484375,33.4860432277838,33.4800929649204,1
kodim04.png,1,nonceBit,768,512,1175036,393216,99.6090359157986,99.5933532714844,33.4389274780008,33.375284032884,1
kodim04.png,2,plaintextBit,768,512,1174996,393216,99.6056450737847,99.5900472005208,33.4569963442734,33.4532025904438,1
kodim04.png,2,masterKeyBit,768,512,1175073,393216,99.6121724446615,99.6075948079427,33.4386528862848,33.4064259248622,1
kodim04.png,2,nonceBit,768,512,1174943,393216,99.6011522081163,99.597422281901,33.4236706835512,33.3910025802314,1
kodim04.png,3,plaintextBit,768,512,1175176,393216,99.6209038628472,99.6192932128906,33.4849292364516,33.4645708869486,1
kodim04.png,3,masterKeyBit,768,512,1174927,393216,99.5997958713108,99.5948791503906,33.4681139844176,33.4257846408421,1
kodim04.png,3,nonceBit,768,512,1174958,393216,99.6024237738715,99.6012369791667,33.4489417647485,33.4031667273029,1
kodim05.png,1,plaintextBit,512,768,1175024,393216,99.6080186631944,99.6045430501302,33.4628472089248,33.4479058957568,1
kodim05.png,1,masterKeyBit,512,768,1175023,393216,99.6079338921441,99.5989481608073,33.419150225737,33.4114982255924,1
kodim05.png,1,nonceBit,512,768,1175084,393216,99.6131049262153,99.6068318684896,33.4633565000979,33.4153258878422,1
kodim05.png,2,plaintextBit,512,768,1175066,393216,99.611579047309,99.6037801106771,33.4940579150497,33.4384304869409,1
kodim05.png,2,masterKeyBit,512,768,1175101,393216,99.6145460340712,99.609375,33.4747464049097,33.4559940512664,1
kodim05.png,2,nonceBit,512,768,1174961,393216,99.6026780870226,99.5961507161458,33.4258045869715,33.4173075358073,1
kodim05.png,3,plaintextBit,512,768,1174972,393216,99.6036105685764,99.5992024739583,33.5079254615801,33.4903093724469,1
kodim05.png,3,masterKeyBit,512,768,1174983,393216,99.6045430501302,99.6012369791667,33.4393443521072,33.4304729785795,1
kodim05.png,3,nonceBit,512,768,1175017,393216,99.607425265842,99.5961507161458,33.472902385238,33.4325184541591,1
kodim06.png,1,plaintextBit,512,768,1175027,393216,99.6082729763455,99.5992024739583,33.4821201565479,33.4262264476103,1
kodim06.png,1,masterKeyBit,512,768,1175073,393216,99.6121724446615,99.6055603027344,33.4598110755804,33.4245021047156,1
kodim06.png,1,nonceBit,512,768,1175022,393216,99.6078491210938,99.5986938476562,33.4757510249651,33.437836092282,1
kodim06.png,2,plaintextBit,512,768,1175062,393216,99.6112399631076,99.6014912923177,33.4767247285199,33.4352480819802,1
kodim06.png,2,masterKeyBit,512,768,1174924,393216,99.5995415581597,99.5869954427083,33.4455326387826,33.3899185080934,1
kodim06.png,2,nonceBit,512,768,1175029,393216,99.6084425184462,99.5956420898438,33.4634495820356,33.4479856802748,1
kodim06.png,3,plaintextBit,512,768,1175094,393216,99.6139526367188,99.6124267578125,33.4796039523123,33.4692911384932,1
kodim06.png,3,masterKeyBit,512,768,1174974,393216,99.6037801106771,99.5925903320312,33.4583842624507,33.4425354003907,1
kodim06.png,3,nonceBit,512,768,1174979,393216,99.6042039659288,99.5986938476562,33.4701953630302,33.3808380326415,1
kodim07.png,1,plaintextBit,512,768,1175097,393216,99.6142069498698,99.6075948079427,33.4824559163944,33.4749767827053,1
kodim07.png,1,masterKeyBit,512,768,1175088,393216,99.6134440104167,99.6088663736979,33.4846031172343,33.4569694169986,1
kodim07.png,1,nonceBit,512,768,1175077,393216,99.6125115288628,99.603271484375,33.430138548475,33.4226142035591,1
kodim07.png,2,plaintextBit,512,768,1175117,393216,99.6159023708768,99.6070861816406,33.4377091019242,33.3980455585555,1
kodim07.png,2,masterKeyBit,512,768,1174993,393216,99.6053907606337,99.5844523111979,33.470362245647,33.459060768676,1
kodim07.png,2,nonceBit,512,768,1175078,393216,99.6125962999132,99.6025085449219,33.4689922789863,33.4679756912531,1
kodim07.png,3,plaintextBit,512,768,1175075,393216,99.6123419867621,99.6053059895833,33.454888038386,33.4320706635519,1
kodim07.png,3,masterKeyBit,512,768,1175075,393216,99.6123419867621,99.5930989583333,33.4794241047114,33.4313545975031,1
kodim07.png,3,nonceBit,512,768,1175080,393216,99.6127658420139,99.603271484375,33.4767496611818,33.4547883077385,1
kodim08.png,1,plaintextBit,512,768,1175011,393216,99.6069166395399,99.6053059895833,33.48115110709,33.4372895683339,1
kodim08.png,1,masterKeyBit,512,768,1175110,393216,99.6153089735243,99.609629313151,33.4852393987652,33.4409786049837,1
kodim08.png,1,nonceBit,512,768,1175043,393216,99.609629313151,99.5999654134115,33.5254348389204,33.4807831010009,1
kodim08.png,2,plaintextBit,512,768,1174963,393216,99.6028476291232,99.5961507161458,33.4887781745728,33.4812837488511,1
kodim08.png,2,masterKeyBit,512,768,1175063,393216,99.611324734158,99.5925903320312,33.4575734522868,33.4291605232588,1
kodim08.png,2,nonceBit,512,768,1175134,393216,99.6173434787326,99.6124267578125,33.4671977922029,33.4260938058492,1
kodim08.png,3,plaintextBit,512,768,1175060,393216,99.611070421007,99.609629313151,33.4566203597325,33.4457965925629,1
kodim08.png,3,masterKeyBit,512,768,1175170,393216,99.6203952365451,99.6114095052083,33.4490285304118,33.4010803621579,1
kodim08.png,3,nonceBit,512,768,1175171,393216,99.6204800075955,99.6058146158854,33.4556406723389,33.4214493495967,1
kodim09.png,1,plaintextBit,768,512,1175129,393216,99.6169196234809,99.6098836263021,33.4973696374166,33.4311252170139,1
kodim09.png,1,masterKeyBit,768,512,1174961,393216,99.6026780870226,99.5903015136719,33.4600820105061,33.4111860686658,1
kodim09.png,1,nonceBit,768,512,1174986,393216,99.6047973632812,99.597422281901,33.4757393897229,33.4493629605163,1
kodim09.png,2,plaintextBit,768,512,1175092,393216,99.6137830946181,99.6019999186198,33.4980109054799,33.472116507736,1
kodim09.png,2,masterKeyBit,768,512,1175038,393216,99.6092054578993,99.603525797526,33.504819184347,33.4853806838491,1
kodim09.png,2,nonceBit,768,512,1174972,393216,99.6036105685764,99.5897928873698,33.4812209185432,33.4396731308084,1
kodim09.png,3,plaintextBit,768,512,1175108,393216,99.6151394314236,99.6040344238281,33.4570797855818,33.4436104967704,1
kodim09.png,3,masterKeyBit,768,512,1174990,393216,99.6051364474826,99.5951334635417,33.45065380753,33.4070163302952,1
kodim09.png,3,nonceBit,768,512,1174906,393216,99.5980156792535,99.5933532714844,33.4704436923424,33.4356101042305,1
kodim10.png,1,plaintextBit,768,512,1175028,393216,99.6083577473958,99.6017456054688,33.4547640399476,33.4313226836959,1
kodim10.png,1,masterKeyBit,768,512,1175127,393216,99.6167500813802,99.6042887369792,33.4799809341597,33.4407043457032,1
kodim10.png,1,nonceBit,768,512,1175110,393216,99.6153089735243,99.6053059895833,33.4168331503609,33.4112329420701,1
kodim10.png,2,plaintextBit,768,512,1175022,393216,99.6078491210938,99.6007283528646,33.4574614215261,33.4331208272697,1
kodim10.png,2,masterKeyBit,768,512,1174995,393216,99.6055603027344,99.5956420898438,33.4822208845018,33.4680644515294,1
kodim10.png,2,nonceBit,768,512,1175063,393216,99.611324734158,99.6101379394531,33.4366994953364,33.420786140791,1
kodim10.png,3,plaintextBit,768,512,1175065,393216,99.6114942762587,99.597422281901,33.4566486167493,33.4187646005668,1
kodim10.png,3,masterKeyBit,768,512,1175055,393216,99.6106465657552,99.6053059895833,33.42499876334,33.374164057713,1
kodim10.png,3,nonceBit,768,512,1175048,393216,99.6100531684028,99.6070861816406,33.4734445875247,33.4141470715891,1
kodim11.png,1,plaintextBit,512,768,1175036,393216,99.6090359157986,99.6045430501302,33.4577646026944,33.4421594158497,1
kodim11.png,1,masterKeyBit,512,768,1174993,393216,99.6053907606337,99.6002197265625,33.4578251059539,33.4305737065334,1
kodim11.png,1,nonceBit,512,768,1175170,393216,99.6203952365451,99.6106465657552,33.4605115171612,33.4218462775736,1
kodim11.png,2,plaintextBit,512,768,1175020,393216,99.607679578993,99.5834350585938,33.4455705364286,33.4356230692147,1
kodim11.png,2,masterKeyBit,512,768,1174903,393216,99.5977613661024,99.5892842610677,33.4531031922318,33.409820756102,1
kodim11.png,2,nonceBit,512,768,1175064,393216,99.6114095052083,99.6045430501302,33.4747490643936,33.4178600435943,1
kodim11.png,3,plaintextBit,512,768,1175022,393216,99.6078491210938,99.5946248372396,33.456245372498,33.4059651692709,1
kodim11.png,3,masterKeyBit,512,768,1175073,393216,99.6121724446615,99.6083577473958,33.4541467072398,33.4258514603759,1
kodim11.png,3,nonceBit,512,768,1175001,393216,99.6060689290365,99.597422281901,33.4730174079181,33.4266153971355,1
kodim12.png,1,plaintextBit,512,768,1175043,393216,99.609629313151,99.6070861816406,33.4574235238801,33.4474202075036,1
kodim12.png,1,masterKeyBit,512,768,1175014,393216,99.607170952691,99.603525797526,33.4817302097163,33.43807145661,1
kodim12.png,1,nonceBit,512,768,1174994,393216,99.605475531684,99.6002197265625,33.4229246983082,33.4041919583589,1
kodim12.png,2,plaintextBit,512,768,1175103,393216,99.6147155761719,99.6025085449219,33.4457773113043,33.4280375561683,1
kodim12.png,2,masterKeyBit,512,768,1175119,393216,99.6160719129774,99.6126810709635,33.4732866806662,33.4546586578968,1
