tileSize,tileCount,campaignIndex,replicateIndex,seed,bytesPerInvocation,timedTotalBytes,repeatCount,trialIndex,executionOrder,indexedMs,feedbackMs,pairedDeltaMs,pairedRatio
16,1024,1,3,10403,786432,8650752,11,5,indexed-first,1.41207272727273,1.41025454545455,-0.00181818181818194,0.998712402142563
16,1024,1,3,10403,786432,8650752,11,6,feedback-first,1.41084545454545,1.40742727272727,-0.00341818181818176,0.997577210312321
16,1024,1,3,10403,786432,8650752,11,7,indexed-first,1.47989090909091,1.3919,-0.0879909090909092,0.940542300415264
16,1024,1,3,10403,786432,8650752,11,8,feedback-first,1.46296363636364,1.43399090909091,-0.0289727272727269,0.980195866423077
16,1024,1,3,10403,786432,8650752,11,9,indexed-first,1.4542,1.40813636363636,-0.0460636363636364,0.968323726885135
16,1024,1,3,10403,786432,8650752,11,10,feedback-first,1.40132727272727,1.39214545454545,-0.00918181818181818,0.993447770295694
16,16,2,1,11101,12288,8392704,683,1,indexed-first,0.0225297218155198,0.0219093704245974,-0.000620351390922404,0.972465199703661
16,16,2,1,11101,12288,8392704,683,2,feedback-first,0.0259721815519766,0.0219598828696925,-0.00401229868228404,0.845515530751452
16,16,2,1,11101,12288,8392704,683,3,indexed-first,0.0228819912152269,0.0222743777452416,-0.00060761346998536,0.973445778198664
16,16,2,1,11101,12288,8392704,683,4,feedback-first,0.0223663250366032,0.0218455344070278,-0.000520790629575399,0.976715413519069
16,16,2,1,11101,12288,8392704,683,5,indexed-first,0.0225219619326501,0.0223204978038067,-0.000201464128843337,0.991054770030879
16,16,2,1,11101,12288,8392704,683,6,feedback-first,0.022792532942899,0.022097364568082,-0.000695168374816986,0.96950017022862
16,16,2,1,11101,12288,8392704,683,7,indexed-first,0.0229815519765739,0.0221534407027818,-0.000828111273792089,0.963966259779313
16,16,2,1,11101,12288,8392704,683,8,feedback-first,0.0226812591508053,0.0220354319180088,-0.000645827232796485,0.971525953277001
16,16,2,1,11101,12288,8392704,683,9,indexed-first,0.0226411420204978,0.0219206442166911,-0.000720497803806733,0.96817749726783
16,16,2,1,11101,12288,8392704,683,10,feedback-first,0.022812298682284,0.0218989751098097,-0.000913323572474378,0.959963544875745
16,16,2,2,11102,12288,8392704,683,1,indexed-first,0.0226852122986823,0.0219262079062958,-0.000759004392386534,0.966541887182135
16,16,2,2,11102,12288,8392704,683,2,feedback-first,0.0225980966325037,0.0218865300146413,-0.000711566617862373,0.968512099517315
16,16,2,2,11102,12288,8392704,683,3,indexed-first,0.0230194729136164,0.0224086383601757,-0.000610834553440704,0.973464442225374
16,16,2,2,11102,12288,8392704,683,4,feedback-first,0.0227115666178624,0.022503074670571,-0.000208491947291362,0.990820010314595
16,16,2,2,11102,12288,8392704,683,5,indexed-first,0.0225525622254758,0.0235033674963397,0.000950805270863834,1.04215952322215
16,16,2,2,11102,12288,8392704,683,6,feedback-first,0.0226509516837482,0.021910980966325,-0.000739970717423131,0.967331583778263
16,16,2,2,11102,12288,8392704,683,7,indexed-first,0.0226718887262079,0.0220349926793558,-0.000636896046852124,0.971908116939728
16,16,2,2,11102,12288,8392704,683,8,feedback-first,0.022886383601757,0.0222789165446559,-0.000607467057101022,0.973457271901429
16,16,2,2,11102,12288,8392704,683,9,indexed-first,0.0229322108345534,0.0227658857979502,-0.000166325036603222,0.992747099797608
16,16,2,2,11102,12288,8392704,683,10,feedback-first,0.0226701317715959,0.0221941434846266,-0.000475988286969251,0.97900372649948
16,16,2,3,11103,12288,8392704,683,1,indexed-first,0.0229156661786237,0.0222739385065886,-0.000641727672035138,0.971996115363482
16,16,2,3,11103,12288,8392704,683,2,feedback-first,0.0228563689604685,0.0221601756954612,-0.000696193265007319,0.969540513359255
16,16,2,3,11103,12288,8392704,683,3,indexed-first,0.0230263543191801,0.021892093704246,-0.00113426061493412,0.95074076429071
16,16,2,3,11103,12288,8392704,683,4,feedback-first,0.0225474377745242,0.021788140556369,-0.000759297218155198,0.966324456652316
16,16,2,3,11103,12288,8392704,683,5,indexed-first,0.0227547584187408,0.0224071742313324,-0.00034758418740849,0.984724769166425
16,16,2,3,11103,12288,8392704,683,6,feedback-first,0.0231428989751098,0.0222983894582723,-0.000844509516837483,0.96350891399795
16,16,2,3,11103,12288,8392704,683,7,indexed-first,0.0228089311859444,0.0226351390922401,-0.000173792093704245,0.992380524440736
16,16,2,3,11103,12288,8392704,683,8,feedback-first,0.0224209370424597,0.0218560761346999,-0.000564860907759885,0.974806543246155
16,16,2,3,11103,12288,8392704,683,9,indexed-first,0.0222146412884334,0.0235554904831625,0.00134084919472914,1.0603588046874
16,16,2,3,11103,12288,8392704,683,10,feedback-first,0.022385505124451,0.0219852122986823,-0.000400292825768669,0.982118213391064
16,64,2,1,11201,49152,8404992,171,1,indexed-first,0.0900081871345029,0.0894245614035088,-0.000583625730994131,0.993515859505958
